Done|song|artist|album|genre|track|filePath|FileName
x|Colour My Love|Barbarella|100% Hits - the Best of 1999|Pop|14|/mnt/PiNAS/music/malendragem/Barbarella/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 14 - Barbarella - Colour My Love.mp3|100% Hits - The Best of 1999 (Disc 2) - 14 - Barbarella - Colour My Love.mp3
x|Zorba's Dance|Lcd|100% Hits - the Best of 1999|Pop|15|/mnt/PiNAS/music/malendragem/Lcd/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 15 - LCD - Zorba's Dance.mp3|100% Hits - The Best of 1999 (Disc 2) - 15 - LCD - Zorba's Dance.mp3
x|A Little Bit|Pandora|100% Hits - the Best of 1999|Pop|16|/mnt/PiNAS/music/malendragem/Pandora/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 16 - Pandora - A Little Bit.mp3|100% Hits - The Best of 1999 (Disc 2) - 16 - Pandora - A Little Bit.mp3
x|Goodbye|Spice Girls|100% Hits - the Best of 1999|Pop|18|/mnt/PiNAS/music/malendragem/Spice Girls/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 18 - Spice Girls - Goodbye.mp3|100% Hits - The Best of 1999 (Disc 2) - 18 - Spice Girls - Goodbye.mp3
x|How Do I Deal|Jennifer Love Hewitt|100% Hits - the Best of 1999|Pop|19|/mnt/PiNAS/music/malendragem/Jennifer Love Hewitt/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 19 - Jennifer Love Hewitt - How Do I Deal.mp3|100% Hits - The Best of 1999 (Disc 2) - 19 - Jennifer Love Hewitt - How Do I Deal.mp3
x|You Don't Know Me|Armand Van Helden|100% Hits - the Best of 1999|Pop|20|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$R0DAFTM/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 20 - Armand van Helden - You Don't Know Me.mp3|100% Hits - The Best of 1999 (Disc 2) - 20 - Armand van Helden - You Don't Know Me.mp3
x|You Don't Know Me|Armand Van Helden|100% Hits - the Best of 1999|Pop|20|/mnt/PiNAS/music/malendragem/Armand Van Helden/100% Hits - the Best of 1999 (Disc 2)/100% Hits - The Best of 1999 (Disc 2) - 20 - Armand van Helden - You Don't Know Me.mp3|100% Hits - The Best of 1999 (Disc 2) - 20 - Armand van Helden - You Don't Know Me.mp3
x|Give It up or Turnit a Loose|James Brown|20 All-Time Greatest Hits!|Soul|5|/mnt/PiNAS/music/malendragem/James Brown/20 All-Time Greatest Hits!/James Brown - 20 All Time Greatest Hits - 05 - Give It Up Or Turnit A Loose.mp3|James Brown - 20 All Time Greatest Hits - 05 - Give It Up Or Turnit A Loose.mp3
x|Try Me|James Brown|20 All-Time Greatest Hits!|Soul|10|/mnt/PiNAS/music/malendragem/James Brown/20 All-Time Greatest Hits!/James Brown - 20 All Time Greatest Hits - 10 - Try Me.mp3|James Brown - 20 All Time Greatest Hits - 10 - Try Me.mp3
x|No Woman No Cry|Olodum|20 Anos|World|1|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 01 - No Woman No Cry.mp3|Olodum - 20 Anos - 01 - No Woman No Cry.mp3
x|Tekila|Olodum|20 Anos|World|2|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 02 - Tekila.mp3|Olodum - 20 Anos - 02 - Tekila.mp3
x|Not Assigned|Olodum|20 Anos|World|3|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 03 - O Reggae Não Pode Morrer.mp3|Olodum - 20 Anos - 03 - O Reggae Não Pode Morrer.mp3
x|Prepara A Boca|Olodum|20 Anos|World|4|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 04 - Prepara A Boca.mp3|Olodum - 20 Anos - 04 - Prepara A Boca.mp3
x|Not Assigned|Olodum|20 Anos|World|5|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 05 - Lua De São Jorge.mp3|Olodum - 20 Anos - 05 - Lua De São Jorge.mp3
x|Requebra|Olodum|20 Anos|World|6|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 06 - Requebra.mp3|Olodum - 20 Anos - 06 - Requebra.mp3
x|Rosa|Olodum|20 Anos|World|7|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 07 - Rosa.mp3|Olodum - 20 Anos - 07 - Rosa.mp3
x|Olodum Me Leva|Olodum|20 Anos|World|8|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 08 - Olodum Me Leva.mp3|Olodum - 20 Anos - 08 - Olodum Me Leva.mp3
x|Alegria Geral|Olodum|20 Anos|World|9|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 09 - Alegria Geral.mp3|Olodum - 20 Anos - 09 - Alegria Geral.mp3
x|Not Assigned|Olodum|20 Anos|World|10|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 10 - Nossa Gente (Avisa Lá).mp3|Olodum - 20 Anos - 10 - Nossa Gente (Avisa Lá).mp3
x|Pot-Pourri (Protesto Do Olodum|Olodum|20 Anos|World|11|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 11 - Pot-Pourri (Protesto Do Olodum-Madagascar Do Olodum-Faraó Divindade Do Egito).mp3|Olodum - 20 Anos - 11 - Pot-Pourri (Protesto Do Olodum-Madagascar Do Olodum-Faraó Divindade Do Egito).mp3
x|Deusa Do Amor|Olodum|20 Anos|World|12|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 12 - Deusa Do Amor.mp3|Olodum - 20 Anos - 12 - Deusa Do Amor.mp3
x|Berimbau|Olodum|20 Anos|World|13|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 13 - Berimbau.mp3|Olodum - 20 Anos - 13 - Berimbau.mp3
x|Declaracao De Amor|Olodum|20 Anos|World|14|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 14 - Declaração De Amor.mp3|Olodum - 20 Anos - 14 - Declaração De Amor.mp3
x|Candelaria|Olodum|20 Anos|World|15|/mnt/PiNAS/music/malendragem/Olodum/20 Anos/Olodum - 20 Anos - 15 - Candelária.mp3|Olodum - 20 Anos - 15 - Candelária.mp3
x|0|Neil Diamond|20 Golden Greats|Easy Listening|1|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 01 - Sweet Caroline.mp3|Neil Diamond - 20 Golden Greats - 01 - Sweet Caroline.mp3
x|Holly Holy|Neil Diamond|20 Golden Greats|Other|2|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 02 - Holly Holy.mp3|Neil Diamond - 20 Golden Greats - 02 - Holly Holy.mp3
x|And the Singer Sings His Song|Neil Diamond|20 Golden Greats|Other|3|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 03 - And The Singer Sings His Song.mp3|Neil Diamond - 20 Golden Greats - 03 - And The Singer Sings His Song.mp3
x|Shilo|Neil Diamond|20 Golden Greats|Other|4|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 04 - Shilo.mp3|Neil Diamond - 20 Golden Greats - 04 - Shilo.mp3
x|Play Me|Neil Diamond|20 Golden Greats|Other|5|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 05 - Play Me.mp3|Neil Diamond - 20 Golden Greats - 05 - Play Me.mp3
x|Mr. Bojangles|Neil Diamond|20 Golden Greats|Other|6|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 06 - Mr. Bojangles.mp3|Neil Diamond - 20 Golden Greats - 06 - Mr. Bojangles.mp3
x|0|Neil Diamond|20 Golden Greats|Easy Listening|7|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 07 - Song Sung Blue.mp3|Neil Diamond - 20 Golden Greats - 07 - Song Sung Blue.mp3
x|Cherry Cherry|Neil Diamond|20 Golden Greats|Other|8|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 08 - Cherry Cherry 1.mp3|Neil Diamond - 20 Golden Greats - 08 - Cherry Cherry 1.mp3
x|0|Neil Diamond|20 Golden Greats|Easy Listening|9|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 09 - Solitary Man.mp3|Neil Diamond - 20 Golden Greats - 09 - Solitary Man.mp3
x|0|Neil Diamond|20 Golden Greats|Easy Listening|10|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 10 - Kentucky Woman.mp3|Neil Diamond - 20 Golden Greats - 10 - Kentucky Woman.mp3
x|Cracklin' Rosie|Neil Diamond|20 Golden Greats|Other|11|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 11 - Cracklin' Rosie.mp3|Neil Diamond - 20 Golden Greats - 11 - Cracklin' Rosie.mp3
x|Soolaimon|Neil Diamond|20 Golden Greats|Other|12|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 12 - Soolaimon.mp3|Neil Diamond - 20 Golden Greats - 12 - Soolaimon.mp3
x|Canta Libre|Neil Diamond|20 Golden Greats|Other|13|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 13 - Canta Libre.mp3|Neil Diamond - 20 Golden Greats - 13 - Canta Libre.mp3
x|Stones|Neil Diamond|20 Golden Greats|Other|14|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 14 - Stones.mp3|Neil Diamond - 20 Golden Greats - 14 - Stones.mp3
x|He Ain't Heavy He's My Brother|Neil Diamond|20 Golden Greats|Other|15|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 15 - He Ain't Heavy He's My Brother.mp3|Neil Diamond - 20 Golden Greats - 15 - He Ain't Heavy He's My Brother.mp3
x|Brother Love's Travelling Salv|Neil Diamond|20 Golden Greats|Other|16|/mnt/PiNAS/music/malendragem/Neil Diamond/20 Golden Greats/Neil Diamond - 20 Golden Greats - 16 - Brother Love's Travelling Salvation Show.mp3|Neil Diamond - 20 Golden Greats - 16 - Brother Love's Travelling Salvation Show.mp3
